City,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075
SEOUL,-12050.98827,-8303.766122,19968.37658,54775.38674,70243.00974,80039.1774,105108.3293,124866.519,127341.6465,112537.8442,99006.58067,82991.32677,62646.41782,43804.61461,26376.18602,10276.3248,-4575.111803,-12319.96027,-9082.476617,-5602.159135,-1903.290757,1991.423968,6060.769031,4351.044238,-7103.522723,-17648.25089,-27338.74553,-36227.52821,-40760.4322,-38009.31584,-28009.38672,-10776.9261,13690.60155,45414.48703,80830.99454,117023.9539,154062.019,192016.3813,230960.9239,270972.3819,312130.5104,354518.2601,398221.9606,443331.5125,489940.5883,538146.8429,588052.1335,639762.7502,693389.6574,749048.7468,806861.1026,866953.2786
BUSAN,53523.44583,40423.98326,27525.94192,14816.47589,6138.718138,-447.2189538,-15660.17162,-27169.48862,-31799.02812,-28793.18987,-21386.14921,-9584.702488,6615.786308,27231.35564,49075.05981,71396.48509,94237.95147,111490.6438,123200.1026,129398.2438,130103.4611,125320.6969,115041.4774,105396.6145,96350.7784,87870.51426,79924.14508,72481.67966,65514.72526,58996.40469,52901.27768,47205.26622,41885.58376,36920.668,32290.11713,27974.62932,23955.94536,20216.79418,16740.84117,13512.63921,10517.58215,7741.86069,5172.420576,2796.92288,603.7063682,-1418.248207,-3279.351975,-4989.44007,-6557.802089,-7993.210986,-9303.950469,-10497.84098
DAEGU,10153.70161,13115.36913,16229.9154,20713.11453,28401.55803,37784.47311,54565.91825,68550.9911,79780.27368,87477.18393,89530.98423,85947.953,76720.64976,68102.60886,60058.93026,52556.59203,45564.35246,39052.65717,32993.55098,27360.59429,22128.78382,17274.47729,12775.3221,8610.187617,4759.100908,1203.185855,-2075.394646,-5093.493486,-7867.031326,-10411.0459,-12739.73876,-14866.51962,-16804.04841,-18108.80812,-17653.93882,-15448.94343,-11498.73858,-5803.68396,1640.399913,10386.75855,19310.50496,28428.30644,37757.4297,47315.77789,57121.92919,67195.17718,77555.57302,88223.96955,99222.06736,110572.4631,122298.6998,134425.32
INCHEON,22801.37624,16224.09515,7161.082662,4455.78918,-1214.705726,-6741.039202,-19191.04235,-32556.11555,-41673.11815,-54898.57784,-70003.26,-86260.95158,-104065.9244,-122321.269,-145620.2441,-166017.7984,-186548.8757,-209510.0904,-232967.8226,-256257.2444,-275983.9357,-298946.998,-322139.1279,-345051.3578,-367887.4539,-391928.8397,-420601.0449,-447723.4029,-475134.1165,-503406.933,-532719.5535,-562917.8112,-590346.9959,-620053.2497,-650237.7782,-680935.5752,-712181.6523,-744472.5494,-780840.8466,-817301.5036,-854283.7539,-891831.8564,-929989.9676,-968814.3533,-1007190.301,-1046760.396,-1087151.593,-1128406.824,-1170569.396,-1213683.044,-1258938.108,-1307420.406
GWANGJU,1469.776106,-629.1112744,-5078.825646,-8332.907264,-10680.76008,-12544.61446,-16703.26979,-20715.58332,-23060.92032,-24904.82804,-26582.16269,-28103.48426,-29478.7578,-30406.76651,-31216.31639,-31915.49214,-32511.90934,-33012.73994,-33424.73622,-33754.25369,-34007.27266,-34189.41873,-34305.9822,-34361.93647,-34361.95542,-34310.42996,-34211.48359,-34068.98729,-33886.57347,-33667.64928,-33415.40916,-33132.84677,-32822.76627,-32487.79293,-32130.38331,-31752.83477,-31357.29454,-30945.76828,-30520.12817,-30082.12062,-29633.37348,-29175.40294,-28709.61997,-28237.33654,-27759.77135,-27278.05538,-26793.23702,-26306.28705,-25818.10322,-25329.51467,-24841.28605,-24354.12144
DAEJEON,21938.78395,19853.90982,17869.25959,14330.01904,11582.05194,9270.421665,4791.241818,601.4785785,-3315.302612,-5105.919795,-4804.098731,-2420.855663,2038.220451,8572.934514,17188.46561,27126.86805,34715.28158,39973.10482,42914.02484,43546.06074,41871.59316,37887.37963,34159.0958,30672.2436,27413.10094,24368.68132,21526.69562,18875.51576,16404.14024,14102.16149,11959.73482,9967.549053,8116.798542,6399.156748,4806.7511,3332.139168,1968.286065,708.5430008,-453.3730473,-1523.398626,-2507.142099,-3409.900996,-4236.678468,-4992.198891,-5680.922662,-6307.060234,-6874.585415,-7387.247992,-7848.585685,-8261.93549,-8630.444432,-8957.079755
ULSAN,-4330.544137,-5360.929299,-6644.50168,-7711.474197,-8661.83135,-9530.47448,-11334.14896,-12986.99142,-14343.20974,-15571.45011,-15837.00372,-14855.33971,-12631.65084,-9167.875981,-4462.71715,1488.351694,6600.339987,10326.5556,12676.00605,13654.34762,13263.90444,11503.67936,9619.187917,7868.20027,6242.862852,4735.750127,3339.842126,2048.50314,855.4615096,-245.209545,-1259.110108,-2191.530811,-3047.469193,-3831.645208,-4548.515938,-5202.289542,-5796.938483,-6336.212075,-6823.648372,-7262.585447,-7656.172084,-8007.377911,-8319.003014,-8593.687042,-8833.917843,-9042.03965,-9220.260835,-9370.661266,-9495.199271,-9595.718244,-9673.952901,-9731.535207
SEJONG,-41354.78792,-40891.22101,-40431.70026,-39976.3306,-40032.93854,-40442.21114,-41005.34366,-42100.30541,-43728.71055,-45892.59655,-47556.58831,-48629.11446,-49112.57455,-49008.7907,-48319.01202,-47043.91841,-45798.35377,-44581.86843,-43394.00438,-42234.29666,-41102.27454,-39997.46275,-38919.3825,-37867.55246,-36841.48976,-35840.71074,-34864.73182,-33913.07013,-32985.24429,-32080.77491,-31199.18521,-30340.00153,-29502.75376,-28686.97581,-27892.20597,-27117.98725,-26363.86772,-25629.40077,-24914.14537,-24217.66631,-23539.53435,-22879.32645,-22236.62588,-21611.02237,-21002.1122,-20409.49831,-19832.79036,-19271.6048,-18725.5649,-18194.30078,-17677.44945,-17174.65477
GYEONGGI,-148458.8083,-158657.9229,-168238.8552,-177231.047,-185662.6119,-193560.3948,-209698.5648,-224255.3406,-237333.0266,-249028.1146,-259431.5961,-268629.2569,-276701.9574,-283725.898,-289772.8704,-294910.4962,-299202.4526,-302708.6867,-305485.6184,-307586.3326,-309060.7612,-309955.856,-310315.7521,-310181.9227,-309593.3261,-308586.5443,-307195.915,-305453.6563,-303389.9844,-301033.2257,-298409.9228,-295544.9343,-292461.53,-289181.4806,-285725.1429,-282111.5399,-278358.4375,-274482.416,-270498.9385,-266422.4156,-262266.2662,-258042.975,-253764.1478,-249440.5623,-245082.2174,-240698.3792,-236297.6248,-231887.8831,-227476.4744,-223070.1465,-218675.1102,-214297.0715
GANGWON,-15393.59544,-16631.06892,-17794.84702,-17639.48176,-17966.78539,-18503.09526,-19756.10998,-20856.15005,-21813.57391,-23470.76854,-24962.66724,-26300.00789,-27492.91729,-28550.94392,-29483.08905,-30297.83615,-31003.17885,-31606.64738,-32115.33366,-32535.91507,-32874.67696,-33137.53403,-33330.05051,-33457.45938,-33524.68046,-33536.33767,-33496.77528,-33410.07337,-33280.06246,-33110.3373,-32904.27007,-32665.02271,-32395.55873,-32098.65434,-31776.90896,-31432.75523,-31068.46843,-30686.17544,-30287.86319,-29875.38666,-29450.47646,-29014.74599,-28569.69824,-28116.7322,-27657.14889,-27192.15715,-26722.87902,-26250.35491,-25775.54841,-25299.35089,-24822.58586,-24346.013
