City,2025,2035,2045,2055,2065,2075
BUSAN,0.36,0.23,0.13,0.08,0.04,0.03
CHUNGBUK,0.34,0.24,0.15,0.09,0.06,0.04
CHUNGNAM,0.32,0.22,0.14,0.09,0.06,0.04
DAEGU,0.39,0.26,0.15,0.09,0.05,0.03
DAEJEON,0.53,0.36,0.23,0.14,0.09,0.05
GANGWON,0.27,0.18,0.11,0.06,0.04,0.02
GWANGJU,0.52,0.35,0.21,0.13,0.08,0.05
GYEONGBUK,0.24,0.15,0.08,0.05,0.02,0.01
GYEONGGI,0.57,0.43,0.3,0.21,0.15,0.1
GYEONGNAM,0.31,0.21,0.12,0.07,0.04,0.02
INCHEON,0.54,0.4,0.27,0.18,0.12,0.08
JEJU,0.41,0.37,0.25,0.2,0.14,0.11
JEONBUK,0.27,0.17,0.1,0.06,0.03,0.02
JEONNAM,0.22,0.14,0.08,0.04,0.02,0.01
SEJONG,0.77,0.48,0.26,0.14,0.08,0.04
SEOUL,0.6,0.43,0.28,0.18,0.11,0.07
ULSAN,0.48,0.32,0.19,0.11,0.06,0.04
