Area,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075
BUSAN,13208.161764705786,12180.245098039042,11152.32843137253,10124.411764705786,9096.495098039042,8068.578431372531,7040.6617647057865,6012.745098039042,4984.828431372531,3956.9117647057865,2928.995098039042,1901.0784313725308,873.1617647057865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHUNGBUK,7349.852941176505,6832.823529411806,6315.794117647107,5798.764705882408,5281.735294117709,4764.70588235301,4247.676470588427,3730.6470588236116,3213.617647058796,2696.5882352942135,2179.558823529398,1662.5294117648154,1145.5,628.4705882354174,111.44117647060193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHUNGNAM,9790.323529411806,9052.470588235185,8314.617647058796,7576.764705882175,6838.9117647057865,6101.058823529398,5363.205882352777,4625.352941176388,3887.5,3149.6470588233788,2411.7941176469903,1673.941176470602,936.0882352939807,198.23529411759228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAEGU,9471.933823529398,8652.102941176388,7832.272058823612,7012.441176470602,6192.610294117592,5372.779411764583,4552.948529411806,3733.117647058796,2913.2867647057865,2093.4558823530097,1273.625,453.79411764699034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAEJEON,6485.5882352942135,5888.647058823612,5291.70588235301,4694.764705882408,4097.823529411806,3500.882352941204,2903.941176470602,2307.0,1710.058823529398,1113.1176470587961,516.1764705881942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GANGWON,6268.6617647057865,5835.343137254822,5402.024509803858,4968.705882352893,4535.387254901929,4102.068627450964,3668.7499999998836,3235.431372548919,2802.1127450979548,2368.7941176469903,1935.475490196026,1502.1568627450615,1068.838235294097,635.5196078431327,202.20098039205186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GWANGJU,6264.080882352777,5717.946078431327,5171.811274509644,4625.676470588194,4079.5416666665114,3533.4068627450615,2987.2720588233788,2441.137254901929,1895.002450980246,1348.8676470587961,802.7328431371134,256.59803921566345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GYEONGBUK,10434.764705882175,9465.58823529398,8496.411764705786,7527.235294117592,6558.058823529398,5588.882352940971,4619.705882352777,3650.5294117645826,2681.3529411763884,1712.1764705881942,742.9999999997672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GYEONGGI,68447.09558823425,64711.3088235287,60975.522058823146,57239.73529411666,53503.94852941111,49768.161764705554,46032.37499999907,42296.588235293515,38560.80147058796,34825.01470588148,31089.227941175923,27353.44117647037,23617.654411763884,19881.86764705833,16146.080882352777,12410.294117646292,8674.507352940738,4938.720588234253,1202.9338235286996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GYEONGNAM,13261.323529411573,11906.09803921543,10550.872549019288,9195.647058823146,7840.421568627004,6485.196078430861,5129.970588235185,3774.745098039042,2419.5196078429,1064.2941176467575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INCHEON,14282.852941176621,13420.70588235301,12558.558823529398,11696.41176470602,10834.264705882408,9972.117647058796,9109.970588235417,8247.823529411806,7385.676470588194,6523.529411764815,5661.382352941204,4799.235294117592,3937.0882352942135,3074.941176470602,2212.7941176469903,1350.6470588236116,488.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JEJU,3584.375,3425.220588235301,3266.066176470602,3106.9117647058447,2947.7573529411457,2788.6029411764466,2629.4485294117476,2470.2941176470486,2311.1397058823495,2151.9852941176505,1992.8308823529514,1833.6764705882524,1674.5220588234952,1515.3676470587961,1356.213235294097,1197.058823529398,1037.904411764699,878.75,719.595588235301,560.4411764706019,401.2867647058447,242.13235294114565,82.97794117644662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JEONBUK,6109.522058823612,5402.495098039275,4695.4681372549385,3988.441176470602,3281.4142156862654,2574.387254901929,1867.3602941175923,1160.3333333332557,453.30637254891917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JEONNAM,7529.485294117592,6875.735294117592,6221.985294117592,5568.235294117592,4914.485294117592,4260.735294117592,3606.9852941175923,2953.2352941175923,2299.4852941175923,1645.7352941175923,991.9852941175923,338.2352941175923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEJONG,4132.165808823542,4337.781029411766,4543.396249999991,4749.011470588215,4954.62669117644,5160.241911764664,5365.857132352947,5571.472352941171,5777.087573529396,5982.70279411762,6188.318014705845,6393.933235294127,6599.548455882352,6805.163676470576,7010.778897058801,7216.394117647025,7422.009338235308,7627.624558823532,7833.239779411757,8038.854999999981,8244.470220588206,8450.08544117643,8655.700661764713,8861.315882352937,9066.931102941162,9272.546323529386,9478.16154411761,9683.776764705894,9889.391985294118,10095.007205882343,10300.622426470567,10506.237647058791,10711.852867647016,10917.468088235299,11123.083308823523,11328.698529411748,11534.313749999972,11739.928970588197,11945.54419117648,12151.159411764704,12356.774632352928,12562.389852941153,12768.005073529377,12973.62029411766,13179.235514705884,13384.850735294109,13590.465955882333,13796.081176470558,14001.696397058782,14207.311617647065,14412.92683823529,14618.542058823514
SEOUL,36547.838235294446,32486.009803920984,28424.181372548454,24362.352941175923,20300.524509803392,16238.696078430861,12176.86764705833,8115.0392156858,4053.210784313269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ULSAN,5573.04411764699,5124.89215686277,4676.740196078434,4228.588235294097,3780.4362745097606,3332.284313725424,2884.1323529410874,2435.9803921568673,1987.8284313725308,1539.6764705881942,1091.5245098038577,643.3725490195211,195.22058823530097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
